,source,album,artist,date,review,score
0,Record Collector,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                it’s stunning record – album artwork perfectlyweighted running order nothing place nothing jars matt berninger didn’t want write solo record thank god did
                            ",10.0
1,Paste Magazine,serpentine-prison,matt-berninger,"Oct 16, 2020","
                                although album probably won’t last nestles nicely among singer’s existing body work serpentine prison displays infinite promise artist already given us catalogue made lasting impact rock music know it
                            ",8.7
2,The Line of Best Fit,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                echoes home band clear there’s also underlying feeling something greater play  proof cut name much band serpentine prison matt berninger’s artistic truth joy
                            ",8.5
3,DIY Magazine,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                collection allows masterful lyrics songcraft shone unfiltered 
                            ",8.0
4,New Musical Express (NME),serpentine-prison,matt-berninger,"Oct 15, 2020","
                                sure rests lot sonic territory national isn’t departure peppy indiepop sideproject el vy represents intimate generous offering one st century rock’s prominent voices
                            ",8.0
5,The Independent (UK),serpentine-prison,matt-berninger,"Oct 15, 2020","
                                ears album closer “serpentine prison” bears uncanny – strippedback – similarity “friend mine” part berninger record it’s good
                            ",8.0
6,musicOMH.com,serpentine-prison,matt-berninger,"Oct 13, 2020","
                                first solo work serpentine prison excellent sidestep berninger’s vitally important highly respected day job
                            ",8.0
7,American Songwriter,serpentine-prison,matt-berninger,"Oct  2, 2020","
                                berninger intended establish imprint beyond day job certainly succeeded serpentine prison opens doors visitors likely find hard leave
                            ",8.0
8,Mojo,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                sounds heavy gong soul country moves comparative lightness music throughout help illuminate darkness nov  p
                            ",8.0
9,Uncut,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                though less avidly adventurous bands recent outings past activities el vy music may stronger nov  p
                            ",8.0
10,Consequence of Sound,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                serpentine prison isn’t drastic change pace many frontmen create project outside main band enough justify separate national’s catalog time longtime fans group undoubtedly feel home also admiring berninger differently
                            ",7.5
11,Beats Per Minute,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                it’s tempting ever berninger’s work let slow burn thing repeated listens far unrewarding unpleasant depth doesn’t feel quite vast come expect still there’s doubting berninger fans new old welcome album embrace too
                            ",7.3
12,Exclaim,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                solo debut serpentine prison seems like natural first step safe bet artists individual ambitions comfort existing fans
                            ",7.0
13,AllMusic,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                taken together sequestered rainy sunday type album flawed worldweary vocal performances laid bare impressionistic accompaniment
                            ",7.0
14,Pitchfork,serpentine-prison,matt-berninger,"Oct 20, 2020","
                                instead modern stardust serpentine prison merely prolific musician’s stopgap
                            ",6.7
15,Rolling Stone,serpentine-prison,matt-berninger,"Oct 19, 2020","
                                result set forlorn ballads start spare gather beauty grow 
                            ",6.0
16,PopMatters,serpentine-prison,matt-berninger,"Oct 13, 2020","
                                serpentine prison may notperfect allows us new look familiar voice berninger achieve two decades career small feat
                            ",6.0
17,Slant Magazine,serpentine-prison,matt-berninger,"Oct 12, 2020","
                                serpentine prison may invoke familiar accusations dullness it’s refreshing hear berninger’s disaffected songwriting style take grownup perspective
                            ",6.0
18,AllMusic,private-lives,low-cut-connie,"Oct 13, 2020","
                                taken whole private lives richest rock  roll low cut connie made date married weiners emotionally resonant set songs combination thats potent moving
                            ",9.0
19,PopMatters,private-lives,low-cut-connie,"Oct 13, 2020","
                                private lives killer  although utilized studio instead onstage performances feel live record every song seems want break constraints workshop positive way keeps vibe taut suggests promise liberation
                            ",9.0
20,Uncut,private-lives,low-cut-connie,"Oct 16, 2020","
                                lofi ambience sometimes sound submerged suiting report deep lifes wreckage dec  p
                            ",7.0
21,Classic Rock Magazine,private-lives,low-cut-connie,"Oct 14, 2020","
                                latter sense indefatigable positivity shines sense togetherness engendered celebration classic nononsense rocknroll nov  p
                            ",7.0
22,Rolling Stone,private-lives,low-cut-connie,"Oct 13, 2020","
                                record’s failing weiner’s instinct maximalism many private lives’  tracks one twominute segues don’t sound much like intervals undercooked songs it’s like songs low cut connie could developed felt release fill two albums easily skippable there’s enough topshelf connie speed bumps don’t slow much
                            ",7.0
23,American Songwriter,private-lives,low-cut-connie,"Oct 13, 2020","
                                affecting rugged yet times surprisingly sensitive private lives act’s accomplished immediate release yet  
                            ",7.0
